input1,input2,input3,output1,output2,output3
101,18,10,1.3534,450.5324,3.47
136,21,12,1.3808,429.3576,3.83
38,15,4,1.3564,484.447,5.16
122,17,8,1.0129,435.473,9.94
111,21,11,1.6533,411.0404,3.41
70,18,10,1.1412,463.5217,1.63
43,15,5,2.0091,410.131,7.71
57,14,6,0.9636,423.708,2.4
36,16,7,2.057,360.0057,0.37
195,21,12,1.015,516.6916,13.45
111,19,12,1.4216,397.5496,2.56
39,14,3,1.0944,529.228,0.68
39,14,3,1.5523,457.3144,0.86
90,20,12,1.395,399.8166,0.53
33,19,7,1.7504,394.6152,6.1
96,17,6,1.138,520.4534,4.41
161,19,14,0.9566,449.488,9.25
126,17,9,1.3566,448.0312,0.71
127,21,11,1.2638,446.209,0.71
132,21,7,1.2525,488.0238,2.41
28,18,4,1.9354,435.821,6.1
40,16,4,1.4695,446.8937,3.49
37,15,5,1.3102,421.303,7.78
96,18,11,1.1128,395.6336,4.61
31,18,5,1.7328,404.678,7.13
47,20,4,1.8882,516.8794,5.27
175,22,12,1.1078,497.9659,3.64
139,21,12,1.1776,457.784,4.88
43,20,4,1.9827,438.9216,0.85
169,23,12,1.5822,507.5641,5.47
32,18,4,1.6645,402.5289,0.18
28,20,3,1.6452,533.6512,4.7
30,12,5,0.8216,389.7194,9.7
75,16,12,1.2823,359.3661,3.78
36,16,3,1.4971,435.7886,0.12
94,18,8,1.2822,437.8878,7.01
36,18,4,1.5945,451.5688,0.18
45,15,6,1.1967,401.9372,8.86
81,21,12,2.1624,390.0558,9.56
30,18,3,1.2726,470.1978,0.68
157,21,15,1.4272,438.5472,2.74
42,18,4,1.5021,462.493,0.58
190,18,12,1.0311,477.4466,5.46
33,15,4,1.6303,417.7045,0.39
40,14,3,1.8268,417.986,1.05
167,23,11,1.4,490.6401,5.96
125,20,13,1.2749,395.0528,2.86
42,16,7,2.0757,381.2423,0.17
75,19,8,1.4337,442.6455,1.6
28,16,4,1.9556,438.8839,4.62
52,17,9,1.3986,426.7684,1.64
60,20,7,2.1961,439.3961,2.82
39,16,7,1.9364,384.697,0.64
169,23,13,1.2754,499.5805,4.75
27,14,4,1.1721,428.3439,5.6
27,18,4,1.5927,461.2313,0.39
45,19,8,2.3563,353,9.14
60,18,9,1.3638,477.487,1.45
75,25,20,2.6602,358.7092,8.91
52,19,6,1.4102,460.2495,0.06
32,17,4,1.5928,440.3788,0.06
33,18,3,1.4549,456.5562,0.02
107,24,17,2.065,415.8922,5.99
36,18,4,1.784,428.5165,1.67
103,19,8,1.5351,462.6908,9.56
42,17,7,1.3292,384.0832,0.12
27,12,4,1.235,446.9938,8.13
33,16,7,1.8834,392.5804,0.56
27,12,6,0.9695,392.0668,9.24
83,21,12,2.058,387.1939,6.83
135,24,14,1.0351,440.596,10.56
23,12,4,1.3265,457.7078,6.48
93,18,7,1.6662,511.315,2.89
118,17,12,1.2895,399.4502,2.44
115,20,12,1.2394,438.4598,10.89
164,22,13,1.446,479.7496,5.5
116,21,11,1.2715,433.2124,1.1
34,17,5,1.4166,527.1975,2.06
30,18,3,1.607,506.3981,0.33
142,22,11,1.4351,490.3089,8.53
24,17,4,1.332,528.0061,1.01
27,18,4,1.5198,459.2736,0.27
27,15,4,1.3803,432.9473,0.62
52,17,9,2.5137,386.633,3.52
61,17,12,0.9113,394.3572,1.48
100,17,13,1.382,388.6607,1.91
37,14,4,1.8344,398.0582,0.37
60,18,9,1.2129,414.8051,6.52
74,19,9,1.493,441.9078,2.61
24,16,3,1.3746,465.1274,0.49
54,19,9,1.562,418.8674,6.77
146,19,11,0.9213,464.8206,7.47
110,21,16,1.2808,422.1589,6.41
37,15,3,1.3106,453.8158,0.41
44,19,6,1.864,448.0459,5.9
30,20,5,1.5299,398.9691,6.08
38,12,7,1.173,434.957,6.64
35,16,3,1.4385,519.7285,0.87
108,18,12,1.2779,409.787,2.64
36,14,3,1.1729,523.063,1.05
30,18,4,1.8025,442.0886,6.64
71,19,9,1.4973,389.8702,4.21
63,24,18,2.4184,371.0967,7.65
38,18,3,1.777,474.0553,0.38
51,17,10,2.1387,395.7617,8.78
165,23,12,1.4256,484.7346,5.56
56,21,5,3.0313,413.7643,2.24
111,17,10,1.1036,444.3689,6.54
60,17,7,1.6008,429.0602,0.63
186,20,11,1.048,491.6277,4.92
161,23,13,1.3078,486.8912,6.04
36,15,6,1.3274,407.1792,5.74
161,19,14,1.1673,443.9581,1.3
145,24,13,0.9857,446.4952,8.24
36,18,7,1.6708,391.144,0.29
30,12,4,1.0509,436.1165,9.07
34,14,4,1.6841,453.8968,3.52
115,19,14,1.1298,379.5261,3.78
71,19,11,1.4826,422.6108,0.14
89,19,11,1.4438,418.2898,5.62
149,21,9,1.1904,487.3556,2.67
86,16,10,1.2903,411.2135,8.99
171,21,14,0.9143,481.181,6.81
36,20,3,1.7952,546.1161,5.19
33,18,3,1.3643,468.5785,0.1
205,21,12,1.1375,448.4001,10.12
36,16,5,1.4753,383.4838,0.11
65,17,5,1.4039,435.8537,0.12
43,18,5,1.2336,470.7363,1.27
33,14,5,1.6618,435.5536,8.38
39,13,4,1.1913,424.2043,7.57
119,20,11,1.424,423.9728,4.25
46,18,4,1.4055,508.3158,0.31
85,19,8,1.1531,512.52,0.3
200,20,14,0.9539,505.34,7.04
105,18,15,1.3323,405.1556,1.53
36,14,5,2.0957,427.5606,8.61
39,15,4,1.2441,430.3676,6
74,19,7,1.3428,468.2007,0.89
69,15,8,1.4578,432.7177,4.19
115,22,7,1.2529,487.027,5.15
160,20,15,1.3354,454.0595,0.79
33,18,4,1.2837,427.8648,0.84
48,16,5,1.7759,463.9204,6.13
24,15,4,1.282,488.142,2.65
39,15,4,1.8104,436.8287,7.11
33,15,4,1.0856,414.7731,4.13
130,22,11,1.154,464.0424,0.67
60,20,8,1.9384,400.2697,8.59
40,14,5,1.9985,422.3682,7.81
61,18,9,2.0857,355.1336,3.53
34,15,4,1.388,464.1536,1.33
118,21,10,1.4331,464.795,5.06
97,18,9,1.1198,433.0265,9.9
33,18,4,1.4409,485.3107,0.06
40,18,4,1.551,467.1467,0.19
42,18,4,1.7795,446.1553,4.91
53,14,5,0.763,454.3893,3.59
34,16,5,1.5212,438.5322,6.94
36,14,6,1.3741,397.1656,6.52
28,12,7,1.1871,424.4498,6.9
36,19,3,1.5342,463.3578,0.09
86,16,13,1.4758,365.5304,3.16
31,19,6,1.9551,414.1501,3.51
33,18,3,1.3974,567.8211,0.28
43,18,4,1.5404,440.3541,2.34
36,17,5,1.4912,437.4309,0.27
33,18,4,1.6496,416.1766,5.75
42,18,3,1.4929,515.5168,1.28
142,19,13,0.9977,474.9429,5.2
108,18,15,1.434,396.4805,1.36
58,18,7,1.3454,392.2214,0.93
150,22,7,1.1855,498.8225,1.05
140,22,10,1.29,472.2588,0.73
35,14,3,0.81,449.7498,2.04
87,22,10,1.0307,493.2309,2.2
36,18,5,1.395,418.6676,5.43
43,17,3,1.3985,436.7209,0.18
136,23,14,1.0015,443.5884,8.87
133,21,11,1.4771,470.9121,4.53
121,20,10,1.4024,449.9758,3.83
31,18,6,1.3887,401.6718,0.99
120,17,7,1.3076,464.5218,0.94
51,16,6,1.5257,400.3176,1.34
68,17,10,1.4729,434.0963,0.87
38,16,8,1.7238,356.3009,5.81
80,16,10,1.5984,386.458,1.68
171,22,12,0.9996,482.8873,10.97
64,18,8,1.3363,463.9659,2.65
129,19,14,1.1055,418.1992,4.79
36,19,3,2.6529,452.5021,1.7
55,19,4,2.3285,482.7838,2.68
38,15,3,1.4666,489.0464,1.1
150,23,9,1.5658,528.303,5.2
178,20,14,1.1301,475.648,1.81
26,12,4,1.2719,444.6588,4.53
55,17,8,2.0597,392.8745,2.47
185,21,13,0.9838,488.825,2.55
36,16,5,1.7075,426.1174,0.4
36,18,3,1.6451,445.7621,0.35
61,18,10,1.0819,469.7546,1.48
23,15,3,1.2633,476.8251,0
157,22,12,1.1595,464.5924,3.09
62,18,4,1.115,423.7624,1.53
30,15,7,1.5711,403.907,6.5
46,17,6,1.9098,404.4828,1.99
61,16,9,1.6961,348.5754,2.03
30,18,5,1.1233,451.1348,1.14
135,22,8,1.3764,497.867,5.09
180,20,15,0.9326,453.0423,9.82
46,20,5,1.5029,452.1874,2.44
116,20,13,1.1721,393.3327,2.31
55,19,6,2.1373,433.1802,1.73
172,17,12,1.0278,492.1284,6.49
67,17,5,1.6843,437.9752,6.2
145,21,11,1.1911,489.1459,2.53
88,20,6,1.3302,431.9328,4.5
30,15,3,0.7596,452.3254,1.32
27,18,4,1.5388,478.3875,3.8
142,22,7,1.3093,498.8472,0.69
36,16,5,1.6977,433.9208,6.37
95,22,9,1.2783,464.9852,6.2
26,15,4,1.3389,457.7972,4.96
62,17,9,1.5976,351.9449,2.17
90,18,13,1.4418,397.0176,2.76
30,12,5,1.3167,420.7501,5.36
100,22,14,1.4965,426.6558,8.29
33,16,5,1.4586,418.9951,0.11
44,17,5,1.5129,433.3681,5.63
48,14,6,1.436,403.8755,6.52
39,18,6,1.4388,386.8337,1.29
109,18,7,1.0975,480.9638,3.62
155,22,10,1.0459,598,1.18
50,14,4,1.4993,470.5381,0.46
138,20,12,1.3686,447.2166,1.57
36,19,4,1.4304,473.9042,0.21
129,23,13,1.0459,504.0278,2.95
39,17,6,1.3325,397.2662,1.47
155,24,14,1.2581,465.8743,2.45
34,17,6,1.7887,408.6881,0.8
44,18,6,1.6457,381.2686,1.16
28,18,3,1.486,475.4007,0.83
146,22,8,1.237,487.8953,1.17
143,20,10,1.2473,482.4605,2.24
30,16,6,1.3375,419.0438,4.18
120,19,16,1.3087,415.2691,0.86
33,16,3,1.3591,453.3089,0.28
55,18,9,2.0185,356.7351,3.21
133,23,14,1.0682,514.792,2.59
131,21,11,1.6126,464.2592,9.16
36,12,7,1.1538,435.7487,7.27
38,15,4,1.3234,438.0923,3.58
44,14,5,1.9999,421.1312,7.92
28,18,5,1.4677,407.4897,0.86
30,14,4,1.9326,409.664,0.02
90,18,6,1.3068,462.8604,0.15
30,12,3,1.3444,464.952,5.79
64,17,8,1.2501,413.3989,4
99,18,8,1.1052,540.1072,3.4
44,21,4,3.0793,413.0145,2.59
37,18,5,1.5289,382.1586,5.62
38,12,7,1.1056,445.218,7.45
95,17,13,1.4621,375.7321,1.87
28,18,6,1.482,442.0793,0.13
30,15,5,1.1526,406.4343,4.66
36,20,4,3.3121,407.8117,2.12
130,22,11,1.4889,479.2818,9.38
106,20,11,1.3798,405.3127,2.83
88,16,10,1.8523,410.6807,9.66
34,13,8,1.2639,433.0914,8.66
170,20,14,1.1602,454.5055,0.86
33,18,5,1.3796,449.5864,0.19
106,20,11,1.1583,426.9091,10.57
91,20,13,3.0843,399.3554,5.93
38,19,7,1.8244,383.5057,6.37
70,16,11,1.7158,381.5876,3.47
30,12,7,1.174,442.9764,7.73
30,17,5,1.5812,384.4768,2.5
29,17,6,1.5069,439.539,0.99
37,15,4,1.3994,453.8543,0.47
142,22,13,1.4752,473.6336,7.16
34,18,5,1.9413,434.3713,4.01
111,19,12,1.2792,398.5806,3.47
36,18,3,1.539,485.1588,3.42
41,21,7,2.1645,398.7688,6.71
125,24,14,1.0368,512.8556,2.56
62,18,9,1.471,443.1166,2.07
31,18,4,1.76,454.5664,3.79
161,20,11,1.053,489.7394,2.78
33,14,3,1.4116,477.8811,0.72
29,16,4,1.4839,460.5746,0.29
61,17,6,1.2727,544.248,3.67
170,18,10,1.0504,488.4956,1.72
26,16,5,1.249,403.3443,0.9
33,16,4,1.6194,457.2834,0.25
200,16,12,0.9846,494.4145,7.61
66,16,7,1.1142,431.0766,0.39
86,18,6,1.4012,499.9132,2.43
36,14,4,2.0097,411.4062,0.69
55,17,8,1.1839,408.0465,1.67
67,16,7,1.2193,409.8545,2.75
116,22,10,1.4369,482.1815,8.27
33,14,8,1.2316,367.7029,6.57
146,19,14,1.4599,448.2197,1.35
107,18,15,1.3559,401.2584,1.27
34,17,4,1.3702,484.1441,0.36
55,19,5,1.5083,547.0238,0.91
33,20,4,3.1935,409.3434,2.3
80,20,13,3.77,363.361,8.48
90,15,10,1.2193,417.4219,9.89
60,17,12,1.0265,403.0776,1.24
28,13,4,1.3242,423.25,5.39
43,16,8,2.0544,356.5133,1.21
34,17,5,1.6842,418.9189,3.57
75,18,7,1.4724,439.5396,0.6
55,16,8,1.3928,401.4129,5.43
134,22,10,1.3105,473.5927,0.05
85,16,13,1.5718,366.6241,2.76
82,19,7,1.168,447.0517,4.35
130,20,8,1.2501,476.2956,2.5
51,18,4,1.4427,449.9668,1.87
31,15,5,1.3397,400.2844,0.19
75,24,18,2.4402,377.3001,8.53
132,24,13,0.9396,431.076,9.6
35,15,5,1.4767,467.003,6.77
130,18,12,1.3416,411.2028,2.32
135,22,12,1.2906,457.6419,1.25
38,18,5,1.8239,415.5051,0.79
39,14,5,1.0617,402.661,4.45
34,14,7,1.2772,372.2261,7.42
40,17,4,1.4433,566.4545,0.12
30,15,5,1.28,419.3223,5.45
42,20,4,1.3607,470.0809,1.06
76,18,7,1.5114,432.5778,2.69
33,16,5,1.2868,405.131,0.39
30,16,7,1.7273,407.6979,3.99
24,19,7,1.5046,456.4435,0.96
98,17,7,1.3281,530.5953,0.7
36,21,7,3.3234,399.5078,3.2
